iter	Passed	Remaining
332	66146	132492
333	66417	132437
334	66688	132381
335	66937	132281
336	67166	132140
337	67417	132042
338	67743	132090
339	67896	131799
340	68123	131651
341	68360	131523
342	68828	131837
343	69048	131673
344	69252	131479
345	69458	131288
346	69686	131139
347	69894	130951
348	70056	130679
349	70195	130362
350	70464	130289
351	70765	130273
352	70917	129982
353	71176	129887
354	71436	129793
355	71600	129524
356	71823	129362
357	72032	129175
358	72284	129064
359	72476	128847
360	72720	128720
361	72946	128562
362	73227	128500
363	73477	128383
364	73802	128396
365	74063	128295
366	74373	128279
367	74622	128155
368	74914	128106
369	75124	127915
370	75379	127800
371	75625	127668
372	75850	127501
373	76120	127410
374	76469	127448
375	76825	127497
376	77068	127357
377	77265	127141
378	77507	126998
379	77677	126736
380	77882	126533
381	78055	126278
382	78291	126124
383	78468	125876
384	78664	125659
385	78857	125436
386	79051	125216
387	79249	125001
388	79457	124804
389	79683	124633
390	79884	124423
391	80062	124178
392	80278	123993
393	80417	123687
394	80602	123454
395	80769	123194
396	80939	122938
397	81177	122785
